# Site          StartTime     WallTime     CPUtime         Files   PercRead
T2_US_Wisconsin 1411238249 106465 90387 /store/data/Run2012B/SingleElectron/AOD/22Jan2013-v1/20002/907A313D-A980-E211-B843-003048F009D0.root 100
T2_US_Wisconsin 1411239344 133076 112980 /store/data/Run2012B/SingleElectron/AOD/22Jan2013-v1/20000/F6CE115A-6D7D-E211-91CF-0025901E3E62.root,/store/data/Run2012B/SingleElectron/AOD/22Jan2013-v1/20000/367451E6-6B7D-E211-8E60-0025901DD2B2.root 100
T2_US_Florida 1411239843 129319 109790 /store/data/Run2012B/SingleElectron/AOD/22Jan2013-v1/20000/9486A79C-357D-E211-9BE1-00215AEDFF9A.root 100
T1_US_FNAL 1411241791 115676 98207 /store/mc/GEM2019Upg14DR/QCD_Pt-15to3000_Tune4C_Flat_14TeV_pythia8/AODSIM/final_phase1_PU50bx25_DES19_62_V8-v1/00000/10821866-2A1B-E411-B002-0025905964C2.root,/store/mc/GEM2019Upg14DR/QCD_Pt-15to3000_Tune4C_Flat_14TeV_pythia8/AODSIM/final_phase1_PU50bx25_DES19_62_V8-v1/00000/24430EED-281B-E411-90A2-00261894393D.root 100
T2_US_Florida 1411241818 135737 115239 /store/data/Run2012B/SingleElectron/AOD/22Jan2013-v1/20000/40C21AA3-427D-E211-A34E-D8D385FF1C2A.root,/store/data/Run2012B/SingleElectron/AOD/22Jan2013-v1/20000/6212B56D-3E7D-E211-8534-003048F1C9DA.root 100
T2_US_Wisconsin 1411242424 100929 85687 /store/data/Run2012B/SingleElectron/AOD/22Jan2013-v1/20001/6E0F65E1-A17E-E211-8DBE-003048CF8CD4.root 100
T2_US_Wisconsin 1411242481 107479 91248 /store/data/Run2012B/SingleElectron/AOD/22Jan2013-v1/20001/4AC0FA62-9E7E-E211-B302-003048FE9C68.root 100
T2_US_Wisconsin 1411242590 104369 88608 /store/data/Run2012B/SingleElectron/AOD/22Jan2013-v1/20001/040A92B2-957E-E211-87BE-001E67398430.root 100
T2_US_Florida 1411242775 114969 97607 /store/data/Run2012C/SingleElectron/AOD/22Jan2013-v1/20001/E4DA0058-0D88-E211-92CA-002590489DF0.root 100
T2_US_Wisconsin 1411242935 101948 86552 /store/data/Run2012B/SingleElectron/AOD/22Jan2013-v1/20001/42D9FF37-A47E-E211-A731-00237DDC5C1E.root 100
T1_US_FNAL 1411243344 114123 96889 /store/mc/GEM2019Upg14DR/QCD_Pt-15to3000_Tune4C_Flat_14TeV_pythia8/AODSIM/final_phase1_PU50bx25_DES19_62_V8-v1/00000/044D1B92-141B-E411-9F67-0025905A60A0.root,/store/mc/GEM2019Upg14DR/QCD_Pt-15to3000_Tune4C_Flat_14TeV_pythia8/AODSIM/final_phase1_PU50bx25_DES19_62_V8-v1/00000/42C252D6-121B-E411-B2D2-0025905A608C.root,/store/mc/GEM2019Upg14DR/QCD_Pt-15to3000_Tune4C_Flat_14TeV_pythia8/AODSIM/final_phase1_PU50bx25_DES19_62_V8-v1/00000/C0CEABD1-011B-E411-8913-0025905A60A8.root 100
T2_US_Wisconsin 1411243445 116110 98576 /store/data/Run2012B/SingleElectron/AOD/22Jan2013-v1/20001/18EEA1B5-8F7E-E211-B82B-0025901AF5DA.root,/store/data/Run2012B/SingleElectron/AOD/22Jan2013-v1/20001/FC0C534B-967E-E211-94B4-003048F1C4AA.root 100
T2_US_Florida 1411243699 142257 120774 /store/data/Run2012C/SingleElectron/AOD/22Jan2013-v1/20001/E2112C90-E387-E211-A8C0-001E67398A7F.root,/store/data/Run2012C/SingleElectron/AOD/22Jan2013-v1/20001/7065DC06-CC87-E211-87D2-003048CF9808.root 100
T1_US_FNAL 1411243717 113750 96572 /store/mc/GEM2019Upg14DR/QCD_Pt-15to3000_Tune4C_Flat_14TeV_pythia8/AODSIM/final_phase1_PU50bx25_DES19_62_V8-v1/00000/8EEFDFA4-F21A-E411-9E1B-002590593878.root,/store/mc/GEM2019Upg14DR/QCD_Pt-15to3000_Tune4C_Flat_14TeV_pythia8/AODSIM/final_phase1_PU50bx25_DES19_62_V8-v1/00000/7C7EEB19-EB1A-E411-A054-0025905A6126.root,/store/mc/GEM2019Upg14DR/QCD_Pt-15to3000_Tune4C_Flat_14TeV_pythia8/AODSIM/final_phase1_PU50bx25_DES19_62_V8-v1/00000/C4E9B37F-F01A-E411-9AB4-0025905A60AA.root 100
T1_US_FNAL 1411243883 113584 96431 /store/mc/GEM2019Upg14DR/QCD_Pt-15to3000_Tune4C_Flat_14TeV_pythia8/AODSIM/final_phase1_PU50bx25_DES19_62_V8-v1/30000/ACAB63E3-F61A-E411-A356-002590593920.root,/store/mc/GEM2019Upg14DR/QCD_Pt-15to3000_Tune4C_Flat_14TeV_pythia8/AODSIM/final_phase1_PU50bx25_DES19_62_V8-v1/30000/447D70B9-F51A-E411-A933-0025905938D4.root,/store/mc/GEM2019Upg14DR/QCD_Pt-15to3000_Tune4C_Flat_14TeV_pythia8/AODSIM/final_phase1_PU50bx25_DES19_62_V8-v1/30000/424F17D5-F41A-E411-9BDC-002618943975.root 100
