(time-1423531206)/3600.	SUM(QUEUED)	SUM(RUNNING)	SUM(DONE)
0	93706	20192	0
0.0833333333333333	93706	19531	661
0.166666666666667	93045	19701	1152
0.25	92554	20105	1239
0.333333333333333	92467	20024	1407
0.416666666666667	92299	19954	1645
0.5	92061	19893	1944
0.583333333333333	91762	20011	2125
0.666666666666667	91581	20087	2230
0.75	91476	20095	2327
0.833333333333333	91379	19927	2592
0.916666666666667	91114	19625	3159
1	90547	19844	3507
1.08333333333333	90199	19977	3722
1.16666666666667	89984	20077	3837
1.25	89869	20083	3946
1.33333333333333	89760	20093	4045
1.41666666666667	89661	20056	4181
1.5	89525	19898	4475
1.58333333333333	89231	19924	4743
1.66666666666667	88963	19905	5030
1.75	88676	19911	5311
1.83333333333333	88395	19935	5568
1.91666666666667	88138	19978	5782
2	87924	19911	6063
2.08333333333333	87643	19913	6342
2.16666666666667	87364	19788	6746
2.25	86960	19684	7254
2.33333333333333	86452	19744	7702
2.41666666666667	86004	19843	8051
2.5	85655	19840	8403
2.58333333333333	85303	19782	8813
2.66666666666667	84893	19745	9260
2.75	84446	19811	9641
2.83333333333333	84065	19830	10003
2.91666666666667	83703	19625	10570
3	83136	19393	11369
3.08333333333333	82337	19440	12121
3.16666666666667	81585	19949	12364
3.25	81342	19821	12735
3.33333333333333	80971	19446	13481
3.41666666666667	80225	19385	14288
3.5	79418	19758	14722
3.58333333333333	78984	19667	15247
3.66666666666667	78459	19584	15855
3.75	77851	19646	16401
3.83333333333333	77305	19085	17508
3.91666666666667	76198	19445	18255
4	75451	19783	18664
4.08333333333333	75042	19781	19075
4.16666666666667	74631	19986	19281
4.25	74425	20052	19421
4.33333333333333	74285	20006	19607
4.41666666666667	74099	19572	20227
4.5	73479	19617	20802
4.58333333333333	72904	19735	21259
4.66666666666667	72447	19785	21666
4.75	72040	19748	22110
4.83333333333333	71596	19555	22747
4.91666666666667	70959	19583	23356
5	70350	19648	23900
5.08333333333333	69806	19737	24355
5.16666666666667	69351	19606	24941
5.25	68765	19520	25613
5.33333333333333	68093	19748	26057
5.41666666666667	67649	19870	26379
5.5	67327	19892	26679
5.58333333333333	67027	19893	26978
5.66666666666667	66728	19904	27266
5.75	66440	19809	27649
5.83333333333333	66057	19766	28075
5.91666666666667	65842	19455	28601
6	65757	19023	29118
6.08333333333333	65666	18712	29520
6.16666666666667	65597	18397	29904
6.25	65528	18111	30259
6.33333333333333	65461	17820	30617
6.41666666666667	65363	17573	30962
6.5	65281	17376	31241
6.58333333333333	65208	17256	31434
6.66666666666667	65126	17153	31619
6.75	65039	17032	31827
6.83333333333333	64922	16949	32027
6.91666666666667	64807	16912	32179
7	64717	16840	32341
7.08333333333333	64616	16781	32501
7.16666666666667	64520	16681	32697
7.25	64391	16583	32924
7.33333333333333	64271	16474	33153
7.41666666666667	64124	16367	33407
7.5	63974	16276	33648
7.58333333333333	63829	16214	33855
7.66666666666667	63692	16144	34062
7.75	63553	16087	34258
7.83333333333333	63412	15975	34511
7.91666666666667	63242	15946	34710
8	63109	15865	34924
8.08333333333333	62972	15785	35141
8.16666666666667	62834	15693	35371
8.25	62695	15581	35622
8.33333333333333	62542	15495	35861
8.41666666666667	62380	15435	36083
8.5	62232	15381	36285
8.58333333333333	62095	15289	36514
8.66666666666667	61942	15202	36754
8.75	61767	15173	36958
8.83333333333333	61629	15081	37188
8.91666666666667	61464	15014	37420
9	61317	14971	37610
9.08333333333333	61197	14857	37844
9.16666666666667	61035	14818	38045
9.25	60912	14743	38243
9.33333333333333	60781	14694	38423
9.41666666666667	60691	14580	38627
9.5	60587	14456	38855
9.58333333333333	60444	14357	39097
9.66666666666667	60271	14338	39289
9.75	60141	14300	39457
9.83333333333333	60046	14199	39653
9.91666666666667	59908	14161	39829
10	59797	14111	39990
10.0833333333333	59696	14034	40168
10.1666666666667	59569	13978	40351
10.25	59434	13954	40510
10.3333333333333	59325	13909	40664
10.4166666666667	59223	13853	40822
10.5	59124	13815	40959
10.5833333333333	59025	13760	41113
10.6666666666667	58924	13726	41248
10.75	58816	13705	41377
10.8333333333333	58727	13641	41530
10.9166666666667	58627	13596	41675
11	58532	13539	41827
11.0833333333333	58425	13484	41989
11.1666666666667	58300	13455	42143
11.25	58186	13423	42289
11.3333333333333	58065	13408	42425
11.4166666666667	57959	13353	42586
11.5	57834	13324	42740
11.5833333333333	57710	13305	42883
11.6666666666667	57586	13249	43063
11.75	57432	13280	43186
11.8333333333333	57328	13230	43340
11.9166666666667	57192	13241	43465
12	57092	13238	43568
12.0833333333333	57008	13199	43691
12.1666666666667	56903	13186	43809
12.25	56794	13121	43983
12.3333333333333	56652	13108	44138
12.4166666666667	56513	13096	44289
12.5	56383	13084	44431
12.5833333333333	56262	13044	44592
12.6666666666667	56118	13051	44729
12.75	55998	13013	44887
12.8333333333333	55868	12995	45035
12.9166666666667	55738	12971	45189
13	55606	12942	45350
13.0833333333333	55470	12914	45514
13.1666666666667	55338	12888	45672
13.25	55200	12879	45819
13.3333333333333	55076	12832	45990
13.4166666666667	54928	12814	46156
13.5	54785	12824	46289
13.5833333333333	54669	12785	46444
13.6666666666667	54532	12783	46583
13.75	54416	12755	46727
13.8333333333333	54290	12718	46890
13.9166666666667	54151	12699	47048
14	54013	12660	47225
14.0833333333333	53859	12646	47393
14.1666666666667	53707	12651	47540
14.25	53572	12609	47717
14.3333333333333	53419	12610	47869
14.4166666666667	53286	12599	48013
14.5	53166	12570	48162
14.5833333333333	53035	12545	48318
14.6666666666667	52905	12526	48467
14.75	52775	12507	48616
14.8333333333333	52650	12465	48783
14.9166666666667	52503	12468	48927
15	52387	12406	49105
15.0833333333333	52234	12377	49287
15.1666666666667	52072	12376	49450
15.25	51933	12365	49600
15.3333333333333	51811	12336	49751
15.4166666666667	51686	12337	49875
15.5	51576	12310	50012
15.5833333333333	51454	12275	50169
15.6666666666667	51318	12244	50336
15.75	51176	12218	50504
15.8333333333333	51032	12207	50659
15.9166666666667	50913	12196	50789
16	50797	12112	50989
16.0833333333333	50619	12075	51204
16.1666666666667	50425	12120	51353
16.25	50298	12132	51468
16.3333333333333	50206	12116	51576
16.4166666666667	50119	12063	51716
16.5	50015	12042	51841
16.5833333333333	49956	11979	51963
16.6666666666667	49896	11803	52199
16.75	49817	11690	52391
16.8333333333333	49744	11620	52534
16.9166666666667	49667	11580	52651
17	49578	11566	52754
17.0833333333333	49496	11544	52858
17.1666666666667	49407	11531	52960
17.25	49329	11488	53081
17.3333333333333	49236	11485	53177
17.4166666666667	49159	11446	53293
17.5	49067	11428	53403
17.5833333333333	48991	11391	53516
17.6666666666667	48900	11353	53645
17.75	48791	11350	53757
17.8333333333333	48703	11320	53875
17.9166666666667	48612	11314	53972
18	48536	11264	54098
18.0833333333333	48435	11237	54226
18.1666666666667	48324	11004	54570
18.25	48233	10948	54717
18.3333333333333	48116	10830	54952
18.4166666666667	48009	10799	55090
18.5	47892	10783	55223
18.5833333333333	47789	10733	55376
18.6666666666667	47690	10702	55506
18.75	47586	10612	55700
18.8333333333333	47474	10605	55819
18.9166666666667	47371	10567	55960
19	47271	10564	56063
19.0833333333333	47185	10542	56171
19.1666666666667	47092	10511	56295
19.25	46991	10512	56395
19.3333333333333	46915	10472	56511
19.4166666666667	46823	10439	56636
19.5	46722	10422	56754
19.5833333333333	46626	10403	56869
19.6666666666667	46539	10380	56979
19.75	46451	10354	57093
19.8333333333333	46357	10357	57184
19.9166666666667	46277	10318	57303
20	46165	10300	57433
20.0833333333333	46049	10292	57557
20.1666666666667	45941	10291	57666
20.25	45851	10259	57788
20.3333333333333	45749	10212	57937
20.4166666666667	45619	10230	58049
20.5	45519	10200	58179
20.5833333333333	45402	10199	58297
20.6666666666667	45297	10162	58439
20.75	45167	10127	58604
20.8333333333333	45017	10125	58756
20.9166666666667	44874	10093	58931
21	44706	10084	59108
21.0833333333333	44539	10075	59284
21.1666666666667	44381	10056	59461
21.25	44216	10045	59637
21.3333333333333	44052	10051	59795
21.4166666666667	43901	10053	59944
21.5	43765	10044	60089
21.5833333333333	43632	10029	60237
21.6666666666667	43494	10016	60388
21.75	43354	10005	60539
21.8333333333333	43211	9995	60692
21.9166666666667	43067	9995	60836
22	42931	9995	60972
22.0833333333333	42805	9979	61114
22.1666666666667	42669	9970	61259
22.25	42532	9968	61398
22.3333333333333	42397	9950	61551
22.4166666666667	42251	9950	61697
22.5	42112	9947	61839
22.5833333333333	41976	9946	61976
22.6666666666667	41843	9947	62108
22.75	41718	9955	62225
22.8333333333333	41605	9972	62321
22.9166666666667	41516	9933	62449
23	41392	9911	62595
23.0833333333333	41249	9887	62762
23.1666666666667	41089	9927	62882
23.25	40970	9880	63048
23.3333333333333	40807	9864	63227
23.4166666666667	40633	9867	63398
23.5	40467	9907	63524
23.5833333333333	40346	9897	63655
23.6666666666667	40224	9897	63777
23.75	40106	9869	63923
23.8333333333333	39965	9853	64080
23.9166666666667	39812	9906	64180
24	39715	9898	64285
24.0833333333333	39614	9877	64407
24.1666666666667	39494	9880	64524
24.25	39378	9876	64644
24.3333333333333	39261	9885	64752
24.4166666666667	39158	9868	64872
24.5	39040	9857	65001
24.5833333333333	38915	9862	65121
24.6666666666667	38797	9857	65244
24.75	38678	9874	65346
24.8333333333333	38578	9842	65478
24.9166666666667	38446	9841	65611
25	38314	9851	65733
25.0833333333333	38194	9873	65831
25.1666666666667	38098	9874	65926
25.25	38006	9877	66015
25.3333333333333	37919	9868	66111
25.4166666666667	37826	9868	66204
25.5	37737	9865	66296
25.5833333333333	37650	9833	66415
25.6666666666667	37533	9840	66525
25.75	37424	9843	66631
25.8333333333333	37320	9810	66768
25.9166666666667	37185	9841	66872
26	37081	9804	67013
26.0833333333333	36942	9815	67141
26.1666666666667	36814	9831	67253
26.25	36704	9824	67370
26.3333333333333	36589	9833	67476
26.4166666666667	36485	9848	67565
26.5	36398	9824	67676
26.5833333333333	36289	9823	67786
26.6666666666667	36181	9824	67893
26.75	36077	9825	67996
26.8333333333333	35975	9835	68088
26.9166666666667	35884	9793	68221
27	35753	9803	68342
27.0833333333333	35633	9833	68432
27.1666666666667	35543	9846	68509
27.25	35466	9829	68603
27.3333333333333	35375	9822	68701
27.4166666666667	35278	9827	68793
27.5	35187	9821	68890
27.5833333333333	35090	9843	68965
27.6666666666667	35015	9832	69051
27.75	34931	9814	69153
27.8333333333333	34829	9802	69267
27.9166666666667	34718	9801	69379
28	34606	9773	69519
28.0833333333333	34469	9791	69638
28.1666666666667	34353	9798	69747
28.25	34246	9813	69839
28.3333333333333	34154	9824	69920
28.4166666666667	34076	9790	70032
28.5	33968	9790	70140
28.5833333333333	33865	9811	70222
28.6666666666667	33784	9801	70313
28.75	33697	9795	70406
28.8333333333333	33606	9758	70534
28.9166666666667	33480	9777	70641
29	33377	9775	70746
29.0833333333333	33272	9764	70862
29.1666666666667	33160	9774	70964
29.25	33059	9766	71073
29.3333333333333	32952	9769	71177
29.4166666666667	32850	9759	71289
