(time-1423531206)/3600.	SUM(QUEUED)	SUM(RUNNING)	SUM(DONE)
0	93706	20192	0
0.0833333333333333	93706	19525	667
0.166666666666667	93039	19699	1160
0.25	92546	20085	1267
0.333333333333333	92439	20101	1358
0.416666666666667	92348	20048	1502
0.5	92204	20001	1693
0.583333333333333	92013	20025	1860
0.666666666666667	91846	20021	2031
0.75	91675	20062	2161
0.833333333333333	91545	19967	2386
0.916666666666667	91320	19684	2894
1	90812	19898	3188
1.08333333333333	90518	19972	3408
1.16666666666667	90298	19995	3605
1.25	90101	19998	3799
1.33333333333333	89907	20067	3924
1.41666666666667	89782	20018	4098
1.5	89608	19894	4396
1.58333333333333	89310	19949	4639
1.66666666666667	89067	19919	4912
1.75	88794	19887	5217
1.83333333333333	88489	19870	5539
1.91666666666667	88167	19902	5829
2	87877	19946	6075
2.08333333333333	87631	19969	6298
2.16666666666667	87408	19814	6676
2.25	87030	19679	7189
2.33333333333333	86517	19760	7621
2.41666666666667	86085	19832	7981
2.5	85725	19801	8372
2.58333333333333	85334	19706	8858
2.66666666666667	84848	19657	9393
2.75	84313	19704	9881
2.83333333333333	83825	19755	10318
2.91666666666667	83388	19561	10949
3	82757	19438	11703
3.08333333333333	82003	19549	12346
3.16666666666667	81360	19979	12559
3.25	81147	19810	12941
3.33333333333333	80765	19440	13693
3.41666666666667	80013	19382	14503
3.5	79203	19735	14960
3.58333333333333	78746	19653	15499
3.66666666666667	78207	19570	16121
3.75	77585	19640	16673
3.83333333333333	77033	19103	17762
3.91666666666667	75944	19451	18503
4	75203	19799	18896
4.08333333333333	74810	19850	19238
4.16666666666667	74468	20015	19415
4.25	74291	20047	19560
4.33333333333333	74146	20027	19725
4.41666666666667	73981	19583	20334
4.5	73372	19632	20894
4.58333333333333	72812	19695	21391
4.66666666666667	72315	19746	21837
4.75	71869	19697	22332
4.83333333333333	71374	19523	23001
4.91666666666667	70705	19567	23626
5	70080	19647	24171
5.08333333333333	69535	19728	24635
5.16666666666667	69071	19603	25224
5.25	68482	19545	25871
5.33333333333333	67835	19766	26297
5.41666666666667	67409	19891	26598
5.5	67108	19915	26875
