(time-1423531206)/3600.	SUM(QUEUED)	SUM(RUNNING)	SUM(DONE)
0	93706	20192	0
0.0833333333333333	93706	19509	683
0.166666666666667	93023	19675	1200
0.25	92506	19962	1430
0.333333333333333	92276	19855	1767
0.416666666666667	91939	19894	2065
0.5	91641	20037	2220
0.583333333333333	91486	20091	2321
0.666666666666667	91385	20071	2442
0.75	91264	19982	2652
0.833333333333333	91054	19814	3030
0.916666666666667	90676	19567	3655
1	90051	19847	4000
1.08333333333333	89706	19977	4215
1.16666666666667	89491	20058	4349
1.25	89357	20042	4499
1.33333333333333	89207	20053	4638
1.41666666666667	89068	19946	4884
1.5	88822	19792	5284
1.58333333333333	88422	19826	5650
1.66666666666667	88056	19840	6002
1.75	87704	19871	6323
1.83333333333333	87383	19881	6634
1.91666666666667	87072	19854	6972
2	86734	19876	7288
2.08333333333333	86418	19890	7590
2.16666666666667	86116	19726	8056
2.25	85650	19607	8641
2.33333333333333	85065	19699	9134
2.41666666666667	84572	19803	9523
2.5	84183	19795	9920
2.58333333333333	83786	19743	10369
2.66666666666667	83337	19743	10818
2.75	82888	19789	11221
2.83333333333333	82485	19824	11589
2.91666666666667	82117	19588	12193
3	81513	19489	12896
3.08333333333333	80810	19565	13523
3.16666666666667	80183	19981	13734
3.25	79972	19820	14106
3.33333333333333	79600	19438	14860
3.41666666666667	78846	19375	15677
3.5	78029	19738	16131
3.58333333333333	77575	19636	16687
3.66666666666667	77019	19554	17325
3.75	76381	19606	17911
3.83333333333333	75795	19075	19028
3.91666666666667	74678	19464	19756
4	73950	19790	20158
4.08333333333333	73548	19833	20517
4.16666666666667	73189	19996	20713
4.25	72993	20049	20856
4.33333333333333	72850	20034	21014
4.41666666666667	72692	19588	21618
4.5	72088	19605	22205
4.58333333333333	71501	19684	22713
4.66666666666667	70993	19743	23162
4.75	70544	19716	23638
4.83333333333333	70068	19534	24296
4.91666666666667	69410	19569	24919
5	68787	19636	25475
5.08333333333333	68231	19717	25950
5.16666666666667	67756	19599	26543
5.25	67163	19507	27228
5.33333333333333	66478	19732	27688
5.41666666666667	66018	19838	28042
5.5	65664	19854	28380
5.58333333333333	65326	19862	28710
5.66666666666667	64996	19862	29040
5.75	64666	19849	29383
5.83333333333333	64323	19728	29847
5.91666666666667	64015	19541	30342
6	63922	19092	30884
6.08333333333333	63814	18727	31357
6.16666666666667	63699	18494	31705
6.25	63587	18111	32200
6.33333333333333	63449	17838	32611
6.41666666666667	63291	17609	32998
6.5	63166	17387	33345
6.58333333333333	63031	17261	33606
6.66666666666667	62887	17162	33849
6.75	62749	17054	34095
6.83333333333333	62611	16951	34336
6.91666666666667	62460	16908	34530
7	62325	16820	34753
7.08333333333333	62170	16766	34962
7.16666666666667	62028	16656	35214
7.25	61845	16557	35496
7.33333333333333	61674	16448	35776
7.41666666666667	61477	16350	36071
7.5	61286	16283	36329
7.58333333333333	61123	16241	36534
7.66666666666667	60987	16173	36738
7.75	60851	16077	36970
7.83333333333333	60669	16022	37207
7.91666666666667	60508	15946	37444
8	60329	15884	37685
8.08333333333333	60162	15836	37900
8.16666666666667	60029	15733	38136
8.25	59879	15603	38416
8.33333333333333	59696	15556	38646
8.41666666666667	59540	15443	38915
8.5	59346	15417	39135
8.58333333333333	59189	15324	39385
8.66666666666667	59017	15262	39619
8.75	58848	15207	39843
8.83333333333333	58692	15107	40099
8.91666666666667	58502	14974	40422
9	58267	14928	40703
9.08333333333333	58060	14818	41020
9.16666666666667	57818	14773	41307
9.25	57614	14757	41527
9.33333333333333	57463	14690	41745
9.41666666666667	57340	14588	41970
9.5	57219	14499	42180
9.58333333333333	57097	14410	42391
9.66666666666667	56957	14333	42608
9.75	56806	14249	42843
9.83333333333333	56646	14219	43033
9.91666666666667	56517	14153	43228
10	56389	14090	43419
